,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
200,0,1,0,1,0,6,0,0,94,18,1,2,4,3,13,0,0,1,8,0,4,0,2,0,0,5
202,0,0,0,1,0,6,1,0,129,16,2,7,4,4,11,0,0,0,0,0,4,0,1,0,0,0
208,0,0,0,1,1,6,0,0,126,10,2,7,4,3,2,0,0,0,0,0,4,0,2,0,0,0
209,0,0,0,1,0,8,0,0,4,9,1,11,4,4,2,0,0,1,0,0,4,0,1,0,0,0
215,0,1,0,1,0,8,0,0,50,10,0,6,4,3,13,0,0,1,0,0,4,0,2,0,0,0
218,0,0,0,0,0,6,0,0,76,13,3,5,4,4,2,0,0,1,0,0,4,0,1,1,0,0
220,0,1,0,1,0,6,0,0,110,17,2,6,4,3,12,0,1,0,8,0,4,0,2,0,1,5
222,0,1,0,1,0,6,0,0,110,17,3,2,4,3,2,0,1,0,8,0,4,0,2,0,1,5
224,0,0,0,1,1,6,0,0,111,9,0,12,4,3,13,0,0,0,0,0,5,0,1,0,0,0
229,0,1,0,1,0,6,0,0,119,0,3,2,0,3,14,0,1,0,0,0,4,1,2,0,0,0
231,0,0,0,1,0,6,0,0,119,9,2,2,4,4,13,0,1,0,0,0,4,0,1,0,0,0
232,0,0,0,1,0,6,0,0,119,9,1,3,4,4,2,0,1,0,0,0,4,0,1,0,0,0
234,0,1,0,1,0,6,0,0,38,12,2,8,4,4,6,0,0,1,0,0,5,0,1,0,0,0
237,0,1,0,1,0,7,0,0,47,16,2,4,4,3,2,0,0,0,0,1,4,0,2,0,1,0
239,0,1,0,1,0,7,0,0,47,16,0,10,4,3,2,0,0,0,0,1,4,0,2,0,1,0
242,0,1,0,1,0,7,0,0,136,20,0,1,4,3,2,0,1,0,0,0,4,0,2,0,0,0
243,0,1,0,1,0,7,0,0,136,20,0,6,4,3,11,0,1,0,0,0,4,0,2,0,0,0
245,0,1,0,1,0,7,0,0,119,21,1,3,0,3,2,1,0,0,0,0,4,0,2,0,0,0
247,0,1,0,1,0,7,0,0,119,21,3,7,0,3,13,1,0,0,0,0,4,0,2,0,0,0
249,0,1,0,1,0,7,0,0,77,1,0,3,0,3,2,0,1,0,0,1,4,0,2,0,0,0
251,0,1,0,1,0,7,0,0,77,1,2,2,0,3,2,0,1,0,0,1,4,0,2,0,0,0
253,0,0,0,0,0,7,0,0,98,14,1,5,4,4,2,0,0,1,0,0,4,0,1,1,0,0
255,0,1,0,1,0,7,0,0,77,16,0,3,4,3,2,0,1,0,0,0,4,0,2,0,0,0
260,0,1,0,1,0,7,0,0,77,16,2,4,4,3,2,0,1,0,0,0,4,0,2,0,0,0
261,0,1,0,1,0,7,0,0,77,18,3,5,4,3,2,0,1,0,0,1,4,0,2,0,0,0
265,0,1,0,1,0,7,0,0,77,18,0,2,4,3,13,0,1,0,0,1,4,0,2,0,0,0
267,0,1,0,1,0,7,0,0,17,13,0,7,4,4,2,0,1,0,8,0,4,0,1,0,0,5
269,0,1,0,1,0,7,0,0,17,13,0,10,4,4,8,0,1,0,8,0,4,0,1,0,0,5
271,0,0,0,1,0,7,0,0,2,13,2,3,4,3,2,0,1,0,0,0,5,0,2,0,0,0
274,0,0,0,1,0,7,0,0,2,13,1,5,4,3,13,0,1,0,0,0,5,0,2,0,0,0
275,0,0,0,1,0,7,0,0,63,17,0,15,4,3,2,0,0,1,0,0,5,0,2,0,0,0
277,0,1,0,0,0,7,0,0,131,8,1,9,4,4,13,0,0,1,0,0,5,0,1,0,0,0
279,0,0,0,1,1,7,0,0,107,18,2,9,4,4,2,0,0,0,0,0,3,0,1,0,0,0
282,0,1,0,0,0,7,0,0,11,1,3,4,0,4,2,1,1,0,0,0,4,1,1,0,0,0
285,0,0,0,1,1,7,0,0,76,11,2,7,4,3,2,0,0,0,0,0,5,0,2,0,0,0
